"type","text"
"ham","keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life"
"ham","new car and house for my parents.:)i have only new job in hand:)"
"ham","i'm so in love with you. i'm excited each day i spend with you. you make me so happy."
"spam","-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468"
"spam","bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu"
"ham","i place all ur points on e cultures module already."
"spam","urgent! we are trying to contact you. last weekends draw shows that you have won a å£900 prize guaranteed. call [PHONE]. claim code s89. valid 12hrs only"
"ham","hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
"ham","great escape. i fancy the bridge but needs her lager. see you tomo"
"ham","sir, i need axis bank account no and bank address."
"ham","hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao..."
"ham","what time you coming down later?"
"ham","bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m..."
"ham","well, i'm gonna finish my bath now. have a good...fine night."
"ham","let me know when you've got the money so carlos can make the call"
"ham","u still going to the mall?"
"ham","turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
"ham","text her. if she doesnt reply let me know so i can have her log in"
"ham","you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend"
"ham","lol no. u can trust me."
"ham","ok. i am a gentleman and will treat you with dignity and respect."
"ham","he will, you guys close?"
"ham","going on nothing great.bye"
"ham","hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?"
"ham","haha awesome, be there in a minute"
"ham","have you got xmas radio times. if not i will get it now"
"ham","i jus reached home. i go bathe first. but my sis using net tell u when she finishes k..."
"spam","are you unique enough? find out from 30th august. www.areyouunique.co.uk"
"ham","i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|"
"ham","hi :)finally i completed the course:)"
"ham","it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool."
"ham","is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?"
"ham","hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx"
"ham","found it, enc  &lt;#&gt; , where you at?"
"ham","i sent you  &lt;#&gt;  bucks"
"ham","hello darlin ive finished college now so txt me when u finish if u can love kate xxx"
"ham","goodmorning sleeping ga."
"ham","u call me alter at 11 ok."
"ham","ìï say until like dat i dun buy ericsson oso cannot oredi lar..."
"ham","aight yo, dats straight dogg"
"ham","you please give us connection today itself before  &lt;decimal&gt;  or refund the bill"
"ham","both :) i shoot big loads so get ready!"
"ham","what's up bruv, hope you had a great break. do have a rewarding semester."
"ham","home so we can always chat"
"ham","k:)k:)good:)study well."
"ham","yup... how ì_ noe leh..."
"ham","sounds great! are you home now?"
"ham","finally the match heading towards draw as your prediction."
"ham","tired. i haven't slept well the past few nights."
"ham","i have to take exam with march 3"
"ham","yeah you should. i think you can use your gt atm now to register. not sure but if there's anyway i can help let me know. but when you do be sure you are ready."
"ham","ok no prob. take ur time."
"ham","there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop.."
"ham","u say leh... of course nothing happen lar. not say v romantic jus a bit only lor. i thk e nite scenery not so nice leh."
"spam","500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only å£1 www.4-tc.biz 2optout [PHONE].50gbp/mtmsg18"
"ham","would really appreciate if you call me. just need someone to talk to."
"spam","will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries"
"ham","hey company elama po mudyadhu."
"ham","life is more strict than teacher... bcoz teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . ."
"ham","dear good morning now only i am up"
"ham","get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right."
"ham","dear we are going to our rubber place"
"ham","sorry battery died, yeah i'm here"
"spam","text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence"
"ham","i have printed it oh. so  &lt;#&gt;  come upstairs"
"ham","or ill be a little closer like at the bus stop on the same street"
"ham","where are you?when wil you reach here?"
"ham","tomarrow final hearing on my laptop case so i cant."
"ham","pleassssssseeeeee tel me v avent done sportsx"
"ham","okay. no no, just shining on. that was meant to be signing, but that sounds better."
"ham","although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. thanx 4 everything dat u've done today, i'm touched..."
"ham","u don't remember that old commercial?"
"ham","too late. i said i have the website. i didn't i have or dont have the slippers"
"ham","i asked you to call him now ok"
"ham","kallis wont bat in 2nd innings."
"ham","it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep."
"ham","ups which is 3days also, and the shipping company that takes 2wks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
"ham","i'm back, lemme know when you're ready"
"ham","don't necessarily expect it to be done before you get back though because i'm just now headin out"
"ham","mmm so yummy babe ... nice jolt to the suzy"
"ham","where are you lover ? i need you ..."
"spam","we tried to contact you re your reply to our offer of a video handset? 750 anytime networks mins? unlimited text? camcorder? reply or call [PHONE] now"
"ham","i‰û÷m parked next to a mini!!!! when are you coming in today do you think?"
"ham","anyway i'm going shopping on my own now. cos my sis not done yet. dun disturb u liao."
"ham","my no. in luton [PHONE] ring me if ur around! h*"
"spam","hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698"
"ham","why you dint come with us."
"ham","same. wana plan a trip sometme then"
"ham","not sure yet, still trying to get a hold of him"
"spam","ur ringtone service has changed! 25 free credits! go to club4mobiles.com to choose content now! stop? txt club stop to 87070. 150p/wk club4 po box1146 mk45 2wt"
"ham","the evo. i just had to download flash. jealous?"
"spam","ringtone club: get the uk singles chart on your mobile each week and choose any top quality ringtone! this message is free of charge."
"ham","come to mu, we're sorting out our narcotics situation"
"ham","night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay."
"ham","usf i guess, might as well take 1 car"
"ham","no objection. my bf not coming."
"ham","tell rob to mack his gf in the theater"
"ham","awesome, i'll see you in a bit"
"ham","just sent it. so what type of food do you like?"
"ham","all done? all handed in? celebrations in full swing yet?"
"ham","you got called a tool?"
"ham","\wen u miss someone"
"ham","ok. i asked for money how far"
"ham","yeah i think my usual guy's still passed out from last night, if you get ahold of anybody let me know and i'll throw down"
"ham","k, i might come by tonight then if my class lets out early"
"ham","hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx"
"ham","dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
"ham","hey you told your name to gautham ah?"
"ham","haf u found him? i feel so stupid da v cam was working."
"ham","oops. 4 got that bit."
"ham","i accidentally deleted the message. resend please."
"spam","t-mobile customer you may now claim your free camera phone upgrade & a pay & go sim card for your loyalty. call on 0845 021 3680.offer ends 28thfeb.t&c's apply"
"ham","unless it's a situation where you go gurl would be more appropriate"
"ham","need a coffee run tomo?can't believe it's that time of week already"
"ham","awesome, i remember the last time we got somebody high for the first time with diesel :v"
"ham","shit that is really shocking and scary, cant imagine for a second. def up for night out. do u think there is somewhere i could crash for night, save on taxi?"
"ham","oh and by the way you do have more food in your fridge! want to go out for a meal tonight?"
"ham","he is a womdarfull actor"
"spam","sms. ac blind date 4u!: rodds1 is 21/m from aberdeen, united kingdom. check him out [URL] sms. ac/w/icmb3cktz8r7!-4 no blind dates send hide"
"ham","yup... from what i remb... i think should be can book..."
"ham","jos ask if u wana meet up?"
"ham","lol yes. our friendship is hanging on a thread cause u won't buy stuff."
"spam","themob> check out our newest selection of content, games, tones, gossip, babes and sport, keep your mobile fit and funky text wap to 82468"
"ham","where are the garage keys? they aren't on the bookshelf"
"spam","think ur smart ? win å£200 this week in our weekly quiz, text play to 85222 now!t&cs winnersclub po box 84, m26 3uz. 16+. gbp1.50/week"
"ham","he says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week"
"ham","hi the way i was with u 2day, is the normal way&this is the real me. ur unique&i hope i know u 4 the rest of mylife. hope u find wot was lost."
"ham","you made my day. do have a great day too."
"ham","k.k:)advance happy pongal."
"ham","hmmm... guess we can go 4 kb n power yoga... haha, dunno we can tahan power yoga anot... thk got lo oso, forgot liao..."
"ham","not really dude, have no friends i'm afraid :("
"ham","coffee cake, i guess..."
"ham","merry christmas to you too babe, i love ya *kisses*"
"ham","hey... why dont we just go watch x men and have lunch... haha"
"ham","cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. pete x"
"ham","that would be great. we'll be at the guild. could meet on bristol road or somewhere - will get in touch over weekend. our plans take flight! have a good week"
"ham","no problem. how are you doing?"
"ham","hi da:)how is the todays class?"
"ham","i'd say that's a good sign but, well, you know my track record at reading women"
"ham","cool, text me when you're parked"
"ham","i'm reading the text i just sent you. its meant to be a joke. so read it in that light"
"ham","k.k:)apo k.good movie."
"ham","maybe i could get book out tomo then return it immediately ..? or something."
"spam","call germany for only 1 pence per minute! call from a fixed line via access number 0844 861 85 85. no prepayment. direct access!"
"ham","any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. not cool at all. please do not contact me again or i will report you to your supervisor."
"spam","valentines day special! win over å£1000 in our quiz and take your partner on the trip of a lifetime! send go to 83600 now. 150p/msg rcvd. custcare:[PHONE]."
"ham","ta-daaaaa! i am home babe, are you still up ?"
"ham","cool. so how come you havent been wined and dined before?"
"ham","u calling me right? call my hand phone..."
"ham","ok that's great thanx a lot."
"ham","i take it the post has come then! you must have 1000s of texts now! happy reading. my one from wiv hello caroline at the end is my favourite. bless him"
"ham","where u been hiding stranger?"
"ham","am not interested to do like that."
"ham","my sister cleared two round in birla soft yesterday."
"ham","dis is yijue. i jus saw ur mail. in case huiming havent sent u my num. dis is my num."
"ham","one small prestige problem now."
"spam","fancy a shag? i do.interested? sextextuk.com txt xxuk suzy to 69876. txts cost 1.50 per msg. tncs on website. x"
"ham","just checking in on you. really do miss seeing jeremiah. do have a great month"
"ham","nah can't help you there, i've never had an iphone"
"ham","if you're not in my car in an hour and a half i'm going apeshit"
"ham","yo you guys ever figure out how much we need for alcohol? jay and i are trying to figure out how much we can safely spend on weed"
"ham","&lt;#&gt; ish minutes was 5 minutes ago. wtf."
"ham","thank you for calling.forgot to say happy onam to you sirji.i am fine here and remembered you when i met an insurance person.meet you in qatar insha allah.rakhesh, ex tata aig who joined tissco,tayseer."
"spam","congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16"
"spam","ur cash-balance is currently 500 pounds - to maximize ur cash-in now send cash to 86688 only 150p/msg. cc: [PHONE] hg/suite342/2lands row/w1j6hl"
"ham","i'm an actor. when i work, i work in the evening and sleep late. since i'm unemployed at the moment, i always sleep late. when you're unemployed, every day is saturday."
"ham","hello! just got here, st andrews-boy its a long way! its cold. i will keep you posted"
"ham","ha ha cool cool chikku chikku:-):-db-)"
"ham","oh ok no prob.."
"ham","check audrey's status right now"
"ham","busy here. trying to finish for new year. i am looking forward to finally meeting you..."
"ham","good afternoon sunshine! how dawns that day ? are we refreshed and happy to be alive? do we breathe in the air and smile ? i think of you, my love ... as always"
"ham","well i know z will take care of me. so no worries."
"spam","update_now - xmas offer! latest motorola, sonyericsson & nokia & free bluetooth! double mins & 1000 txt on orange. call mobileupd8 on [PHONE] or call2optout/f4q="
"spam","here is your discount code rp176781. to stop further messages reply stop. www.regalportfolio.co.uk. customer services [PHONE]"
"ham","wat uniform? in where get?"
"ham","cool, text me when you're ready"
"ham","hello my boytoy ... geeee i miss you already and i just woke up. i wish you were here in bed with me, cuddling me. i love you ..."
"ham","i will spoil you in bed as well :)"
"ham","i'm going for bath will msg you next  &lt;#&gt;  min.."
"ham","i cant keep talking to people if am not sure i can pay them if they agree to price. so pls tell me what you want to really buy and how much you are willing to pay"
"spam","thanks for your ringtone order, reference t91. you will be charged gbp 4 per week. you can unsubscribe at anytime by calling customer services on [PHONE]"
"ham","can you say what happen"
"ham","you could have seen me..i did't recognise you face.:)"
"ham","well there's not a lot of things happening in lindsay on new years *sighs* some bars in ptbo and the blue heron has something going"
"ham","keep my payasam there if rinu brings"
"ham","i taught that ranjith sir called me. so only i sms like that. becaus hes verifying about project. prabu told today so only pa dont mistake me.."
"ham","i guess that's why you re worried. you must know that there's a way the body repairs itself. and i'm quite sure you shouldn't worry. we'll take it slow. first the tests, they will guide when your ovulation is then just relax. nothing you've said is a reason to worry but i.ll keep on followin you up."
"ham","yeah sure, give me a couple minutes to track down my wallet"
"ham","hey leave it. not a big deal:-) take care."
"ham","hey i will be late ah... meet you at 945+"
"ham","it took mr owl 3 licks"
"ham","customer place i will call you."
"ham","mm that time you dont like fun"
"ham","yup having my lunch buffet now.. u eat already?"
"ham","huh so late... fr dinner?"
"ham","hey so this sat are we going for the intro pilates only? or the kickboxing too?"
"ham","morning only i can ok."
"ham","yes i think so. i am in office but my lap is in room i think thats on for the last few days. i didnt shut that down"
"ham","pick you up bout 7.30ish? what time are  and that going?"
"ham","from here after the performance award is calculated every two month.not for current one month period.."
"ham","was actually sleeping and still might when u call back. so a text is gr8. you rock sis. will send u a text wen i wake."
"ham","you are always putting your business out there. you put pictures of your ass on facebook. you are one of the most open people i've ever met. why would i think a picture of your room would hurt you, make you feel violated."
"ham","good evening sir, al salam wahleykkum.sharing a happy news.by the grace of god, i got an offer from tayseer,tissco and i joined.hope you are fine.inshah allah,meet you sometime.rakhesh,visitor from india."
"ham","hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator.."
"spam","free ringtone text first to 87131 for a poly or text get to 87131 for a true tone! help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop"
"ham","dear how is chechi. did you talk to her"
"ham","the hair cream has not been shipped."
"ham","none of that's happening til you get here though"
"ham","yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
"ham","haha get used to driving to usf man, i know a lot of stoners"
"ham","all was well until slightly disastrous class this pm with my fav darlings! hope day off ok. coffee wld be good as can't stay late tomorrow. same time + place as always?"
"ham","hello! good week? fancy a drink or something later?"
"ham","headin towards busetop"
"ham","come by our room at some point so we can iron out the plan for this weekend"
"ham","cos i want it to be your thing"
"ham","okies... i'll go yan jiu too... we can skip ard oso, go cine den go mrt one, blah blah blah..."
"ham","bring home some wendy =d"
"spam","100 dating service cal;l [PHONE] box334sk38ch"
"ham","alright i have a new goal now"
"spam","free entry into our å£250 weekly competition just text the word win to 80086 now. 18 t&c www.txttowin.co.uk"
"ham","alright, i'll head out in a few minutes, text me where to meet you"
"spam","send a logo 2 ur lover - 2 names joined by a heart. txt love name1 name2 mobno eg love adam eve [PHONE] to 87077 yahoo! pobox36504w45wq txtno 4 no ads 150p"
"ham","yes:)from last week itself i'm taking live call."
"spam","someone has contacted our dating service and entered your phone because they fancy you! to find out who it is call from a landline [PHONE] . pobox12n146tf150p"
"ham","siva is in hostel aha:-."
"ham","send this to ur friends and receive something about ur voice..... how is my speaking expression? 1.childish 2.naughty 3.sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me.."
"ham","ok. she'll be ok. i guess"
"ham","any pain on urination any thing else?"
"ham","7 at esplanade.. do ì_ mind giving me a lift cos i got no car today.."
"ham","at home watching tv lor."
"ham","does she usually take fifteen fucking minutes to respond to a yes or no question"
"ham","booked ticket for pongal?"
"ham","you available now? i'm like right around hillsborough &amp;  &lt;#&gt; th"
"ham","the message sent is askin for  &lt;#&gt; dollars. shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?"
"ham","ask g or iouri, i've told the story like ten times already"
"ham","how long does applebees fucking take"
"ham","hi hope u get this txt~journey hasnt been gd,now about 50 mins late i think."
"ham","but i have to. i like to have love and arrange."
"ham","you were supposed to wake me up &gt;:("
"ham","oic... i saw him too but i tot he din c me... i found a group liao..."
"ham","\hey hey werethe monkeespeople say we monkeyaround! howdy gorgeous"
"ham","sorry, my battery died, i can come by but i'm only getting a gram for now, where's your place?"
"ham","well done, blimey, exercise, yeah, i kinda remember wot that is, hmm."
"ham","i wont get concentration dear you know you are my mind and everything :-)"
"ham","lol ... have you made plans for new years?"
"ham","10 min later k..."
"ham","hanks lotsly!"
"ham","thanks for this hope you had a good day today"
"ham","k:)k:)what are detail you want to transfer?acc no enough?"
"ham","ok i will tell her to stay out. yeah its been tough but we are optimistic things will improve this month."
"ham","si si. i think ill go make those oreo truffles."
"ham","look at amy ure a beautiful, intelligent woman and i like u a lot. i know u donåõt like me like that so donåõt worry."
"ham","i hope you that's the result of being consistently intelligent and kind. start asking him about practicum links and keep your ears open and all the best. ttyl"
"ham","1.20 that call cost. which i guess isnt bad. miss ya, need ya, want ya, love ya"
"ham","going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe."
"ham","where did u go? my phone is gonna die you have to stay in here"
"ham","great. never been better. each day gives even more reasons to thank god"
"spam","upgrdcentre orange customer, you may now claim your free camera phone upgrade for your loyalty. call now on 0207 153 9153. offer ends 26th july. t&c's apply. opt-out available"
"ham","sorry, i'll call later ok bye"
"ham","ok i am on the way to railway"
"ham","great princess! i love giving and receiving oral. doggy style is my fave position. how about you? i enjoy making love  &lt;#&gt;  times per night :)"
"ham","they don't put that stuff on the roads to keep it from getting slippery over there?"
"ham","when are you going to ride your bike?"
"ham","yup, no need. i'll jus wait 4 e rain 2 stop."
"ham","there are many company. tell me the language."
"spam","okmail: dear dave this is your final notice to collect your 4* tenerife holiday or #5000 cash award! call [PHONE] from landline. tcs sae box326 cw25wx 150ppm"
"ham","how long has it been since you screamed, princess?"
"ham","nothing. i meant that once the money enters your account here, the bank will remove its flat rate. someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. so the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
