type,text
spam,cashbin.co.uk (get lots of cash this weekend!) www.cashbin.co.uk dear welcome to the weekend we have got our biggest and best ever cash give away!! these..
spam,account notification - $$197 payment from account ****$1640. little little[.]org
ham,sos! any amount i can get pls.
ham,"i'll see if i can swing by in a bit, got some things to take care of here firsg"
ham,just finished. missing you plenty
spam,fraud warning! $$538 withdrawal from account ****$9285. little little-redirect.com?id=$190bb$904-$1065-$4ec$3-$98c$2-b$6608805fea$3
ham,"nothing, smsing u n xy lor. sorry lor da guys neva c u in person but they sort of know u lor. so u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little - approved ('energy subsidy', 'housing grant', 'pandemic relief') of $446. secure your little: little-redirect.net"
spam,account  notification! $537 withdrawal from account ****1554. little little-redirect.com
ham,lol your always so convincing.
ham,or just do that 6times
ham,are you up for the challenge? i know i am :)
spam,"\urgent! this is the 2nd attempt to contact u!u have won å£1000call [PHONE] b4 300603t&csbcm4235wc1n3xx.callcost150ppmmobilesvary. maxå£7. 50\"""""
spam,fraud warning => $$183 charge from account ****$9199. little [URL]
spam,"[('gov', 'department of treasury', 'social security administration')] little => overdue ('tax refund', 'stimulus check', 'child tax credit') of $501. claim by little: [URL]"
ham,"hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,height of confidence: all the aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. aftr they sat they wer told dat the plane ws made by their students. dey all hurried out of d plane.. bt only 1 didnt move... he said:\if it is made by my students
spam,"[('gov', 'department of treasury', 'social security administration')] little => approved ('tax refund', 'stimulus check', 'child tax credit') of $$194. respond before little: l$1ttle.net"
ham,you are a very very very very bad girl. or lady.
spam,account notification! $935 withdrawal from account ****4911. little [URL]
ham,eh u send wrongly lar...
spam,account  notification! $729 charge from account ****3025. little l1ttle.com
spam,little! package ##$576643 requires payment verification. update information at little-redirect.net
ham,i though we shd go out n have some fun so bar in town or something ‰ûò sound ok?
ham,so dont use hook up any how
ham,i liked the new mobile
spam,"[('gov', 'department of treasury', 'social security administration')] little! overdue ('energy subsidy', 'housing grant', 'pandemic relief') of $605. validate until little: [URL]"
ham,i don't run away frm u... i walk slowly &amp; it kills me that u don't care enough to stop me...
spam,"our dating service has been asked 2 contact u by someone shy! call [PHONE] now all will be revealed. pobox84, m26 3uz 150p"
spam,you have won a nokia 7250i. this is what you get when you win our free auction. to take part send nokia to 86021 now. hg/suite342/2lands row/w1jhl 16+
ham,come by our room at some point so we can iron out the plan for this weekend
spam,"[('gov', 'department of treasury', 'social security administration')] little => unaccessed ('tax refund', 'stimulus check', 'child tax credit') of $$418. respond before little: little-redirect.com"
spam,little! package ##$348892 requires address confirmation. track at [URL]
spam,urgent => $$586 payment from account ****$4710. little [URL]
spam,fraud warning - $875 charge from account ****8541. little l1ttle.net
spam,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed å£1000 cash or å£5000 prize!
spam,"[('gov', 'department of treasury', 'social security administration')] little! overdue ('tax refund', 'stimulus check', 'child tax credit') of $892. secure your little: [URL]"
spam,little => package ##$653128 requires customs clearance. track at little-redirect.com?id=bbbc$4b$07-$216b-$4710-bf$8b-$13053aee$7422
ham,then ur physics get a-?
ham,no plans yet. what are you doing ?
spam,fraud warning - $$891 charge from account ****$5065. little little[.]info
spam,"[('gov', 'department of treasury', 'social security administration')] little - approved ('energy subsidy', 'housing grant', 'pandemic relief') of $$442. secure your little: l$1ttle.com"
spam,urgent  => $619 payment from account ****2262. little l1ttle.net
spam,i don't know u and u don't know me. send chat to 86688 now and let's find each other! only 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn. 18 years or over.
spam,little => package ##$608360 requires customs clearance. confirm via [URL]
ham,tmr then ì_ brin lar... aiya later i come n c lar... mayb ì_ neva set properly ì_ got da help sheet wif ì_...
spam,little! package ##$714509 requires payment verification. update information at little-redirect.net?id=$14d$93868-b$53f-$46ae-$96fb-$85c$049781c$79
ham,yeah just open chat and click friend lists. then make the list. easy as pie
spam,security  alert! $322 withdrawal from account ****2176. little l1ttle.net
ham,"hi hope u get this txt~journey hasnt been gd,now about 50 mins late i think."
spam,security alert - $521 charge from account ****6830. little [URL]
spam,"[('gov', 'department of treasury', 'social security administration')] little - overdue ('tax refund', 'stimulus check', 'child tax credit') of $$692. validate until little: l$1ttle.net"
spam,"[('gov', 'department of treasury', 'social security administration')] little => unsecureed ('energy subsidy', 'housing grant', 'pandemic relief') of $232. validate until little: little[.]org"
spam,little => package ##$247907 requires address confirmation. update information at [URL]
ham,understand. his loss is my gain :) so do you work? school?
ham,its sunny in california. the weather's just cool
ham,what is the plural of the noun research?
spam,fraud warning => $932 withdrawal from account ****4694. little little-redirect.net?id=262c6e66-cbd0-4c7e-9ab7-70a026ae2322
ham,"it's ok, at least armand's still around"
ham,"mum, hope you are having a great day. hoping this text meets you well and full of life. have a great day. abiola"
spam,little!  package ##393055 requires payment verification. track at little-redirect.net
spam,"[('[irs  alert]', '[state tax office]', 'medicare services')] little - approved ('tax refund', 'stimulus check', 'child tax credit') of $241. claim by little: l1ttle.net"
spam,little! package ##$967840 requires customs clearance. update information at [URL]
spam,"[('gov', 'department of treasury', 'social security administration')] little! unaccessed ('tax refund', 'stimulus check', 'child tax credit') of $$811. claim by little: l$1ttle.net"
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little - pending ('tax refund', 'stimulus check', 'child tax credit') of $595. claim by little: little[.]info"
ham,usually the body takes care of it buy making sure it doesnt progress. can we pls continue this talk on saturday.
spam,little  - package ##$264126 requires customs clearance. track at [URL]
ham,can ì_ all decide faster cos my sis going home liao..
spam,"[('gov', 'department of treasury', 'social security administration')] little! pending ('tax refund', 'stimulus check', 'child tax credit') of $$507. validate until little: l$1ttle.net"
spam,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.
spam,urgent! $537 transfer from account ****3518. little [URL]
spam,little! package ##859750 requires customs clearance. confirm via little-redirect.com
spam,account notification! $365 payment from account ****2864. little [URL]
ham,da is good good player.why he is unsold.
ham,ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,neft transaction with reference number  &lt;#&gt;  for rs. &lt;decimal&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;time&gt; : &lt;#&gt;
spam,"[('gov', 'department of treasury', 'social security administration')] little - unaccessed ('tax refund', 'stimulus check', 'child tax credit') of $$537. validate until little: little-redirect.com"
spam,little - package ##838101 requires address confirmation. track at l1ttle.net
ham,mind blastin.. no more tsunamis will occur from now on.. rajnikant stopped swimming in indian ocean..:-d
ham,when did i use soc... i use it only at home... ìï dunno how 2 type it in word ar...
spam,urgent => $614 charge from account ****5004. little [URL]
ham,tap & spile at seven. * is that pub on gas st off broad st by canal. ok?
ham,"best msg: it's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; one step back can ruin ur friendship.. good night:-) ..."
ham,"i think i‰û÷m waiting for the same bus! inform me when you get there, if you ever get there."
spam,fraud  warning => $544 withdrawal from account ****5085. little little-redirect.com
spam,congratulations u can claim 2 vip row a tickets 2 c blu in concert in november or blu gift guaranteed call [PHONE] to claim ts&cs www.smsco.net costå£3.75max
ham,"dont give a monkeys wot they think and i certainly don't mind. any friend of mine&all that! just don't sleep wiv , that wud be annoyin!"
spam,fraud  warning! $404 withdrawal from account ****4800. little l1ttle.com
ham,i'm not. she lip synced with shangela.
ham,then i buy.
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little => pending ('energy subsidy', 'housing grant', 'pandemic relief') of $$338. secure your little: l$1ttle.net"
ham,yup... ok i go home look at the timings then i msg ì_ again... xuhui going to learn on 2nd may too but her lesson is at 8am
ham,i'm meeting darren...
ham,"oops i did have it,  &lt;#&gt; ?"
spam,urgent => $$680 payment from account ****$3642. little little-redirect.net?id=$9129b$24e-b$22f-$493d-$8541-e$13d$216daa$6a
ham,are we doing the norm tomorrow? i finish just a 4.15 cos of st tests. need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
ham,you have to pls make a note of all she.s exposed to. also find out from her school if anyone else was vomiting. is there a dog or cat in the house? let me know later.
ham,i'm at bruce &amp; fowler now but i'm in my mom's car so i can't park (long story)
spam,"[('gov', 'department of treasury', 'social security administration')] little! unsecureed ('tax refund', 'stimulus check', 'child tax credit') of $534. respond before little: little-redirect.net"
ham,oi. ami parchi na re. kicchu kaaj korte iccha korche na. phone ta tul na. plz. plz.
ham,ok c ì_ then.
ham,"it doesnt make sense to take it there unless its free. if you need to know more, wikipedia.com"
ham,"funny fact nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife natural disasters just happens"
spam,"[('gov', 'department of treasury', 'social security administration')] little! approved ('tax refund', 'stimulus check', 'child tax credit') of $$826. secure your little: little-redirect.net?id=fc$5c$7213-ef$28-$4001-$8736-$4b$7375eb$06f$6"
spam,little => package ##527903 requires address confirmation. update information at little-redirect.com
spam,"[('gov', 'department of treasury', 'social security administration')] little - overdue ('energy subsidy', 'housing grant', 'pandemic relief') of $177. secure your little: l1ttle.net"
ham,do not b late love mum
ham,"ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
ham,"playin space poker, u?"
spam,"[('gov',  'department of treasury', 'social security administration')] little => overdue ('energy subsidy', 'housing grant', 'pandemic relief') of $435. claim by little: little-redirect.net"
spam,text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence
spam,little - package ##$796957 requires address confirmation. update information at [URL]
spam,"[('gov', 'department of treasury', 'social security administration')] little! unsecureed ('tax refund', 'stimulus check', 'child tax credit') of $$530. claim by little: little[.]com"
ham,i'm aight. wat's happening on your side.
spam,"[('gov', 'department of treasury', 'social security administration')] little - approved ('energy subsidy', 'housing grant', 'pandemic relief') of $$502. respond before little: little-redirect.com?id=$5ca$1ea$8b-$4712-$42a$3-b$01d-$290c$0f$4d$8ee$1"
ham,"ok da, i already planned. i wil pick you."
ham,no management puzzeles.
ham,is xy going 4 e lunch?
spam,"this is the 2nd time we have tried to contact u. u have won the å£400 prize. 2 claim is easy, just call [PHONE] now! only 10p per minute. bt-national-rate"
ham,give me a sec to think think about it
ham,if you mean the website. yes.
ham,imagine life without me... see.. how fast u are searching me?don't worry.. l'm always there to disturb u.. goodnoon..:)
ham,mum ask ì_ to buy food home...
ham,hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?
ham,"i jus hope its true that  missin me cos i'm really missin him! you haven't done anything to feel guilty about, yet."
spam,little - package ##$522322 requires address confirmation. update information at l$1ttle.com
ham,thats cool princess! i will cover your face in hot sticky cum :)
spam,"[('gov',  'department of treasury', 'social security administration')] little! unsecureed ('tax refund', 'stimulus check', 'child tax credit') of $$702. validate until little: l$1ttle.com"
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little => unaccessed ('tax refund', 'stimulus check', 'child tax credit') of $$918. secure your little: l$1ttle.net"
ham,what time u wrkin?
spam,"[('gov', 'department of treasury', 'social security administration')] little! pending ('tax refund', 'stimulus check', 'child tax credit') of $$676. validate until little: [URL]"
spam,little => package ##$964276 requires customs clearance. update information at [URL]
spam,fraud warning! $$879 charge from account ****$1098. little l$1ttle.com
spam,"[('[irs  alert]', '[state tax office]', 'medicare services')] little! overdue ('tax refund', 'stimulus check', 'child tax credit') of $$722. respond before little: [URL]"
spam,"thanks for your ringtone order, ref number r836. your mobile will be charged å£4.50. should your tone not arrive please call customer services on [PHONE]"
spam,account notification => $598 withdrawal from account ****4632. little little[.]com
ham,"i haven't forgotten you, i might have a couple bucks to send you tomorrow, k? i love ya too"
spam,account  notification => $$300 charge from account ****$9969. little little-redirect.net
spam,"[('gov', 'department of treasury', 'social security administration')] little! unaccessed ('energy subsidy', 'housing grant', 'pandemic relief') of $370. respond before little: l1ttle.com"
ham,enjoy ur life. . good night
spam,account notification - $$621 transfer from account ****$7210. little little-redirect.com?id=$4a$9ae$5ce-$0460-$4117-b$050-fe$5a$7f$2a$6407
ham,fuck cedar key and fuck her (come over anyway tho)
ham,anything lor but toa payoh got place 2 walk meh...
ham,height of recycling: read twice- people spend time for earning money and the same money is spent for spending time!;-) good morning.. keep smiling:-)
ham,"sounds gd... haha... can... wah, u yan jiu so fast liao..."
spam,"[('gov', 'department of treasury', 'social security administration')] little - pending ('tax refund', 'stimulus check', 'child tax credit') of $$269. validate until little: l$1ttle.net"
spam,little! package ##201515 requires payment verification. track at [URL]
ham,\alright babe
ham,"how is my boy? no sweet words left for me this morning ... *sighs* ... how goes you day, my love ? did you start your studying?"
spam,little - package ##578224 requires customs clearance. update information at l1ttle.net
ham,dear good morning how you feeling dear
ham,ìï predict wat time ì_'ll finish buying?
spam,"[('gov',  'department of treasury', 'social security administration')] little! pending ('tax refund', 'stimulus check', 'child tax credit') of $$924. secure your little: [URL]"
ham,yeah confirmed for you staying at  that weekend
spam,account notification! $$365 payment from account ****$3769. little little-redirect.net
spam,little  => package ##$177711 requires address confirmation. track at little-redirect.net
ham,wife.how she knew the time of murder exactly
spam,account notification - $678 transfer from account ****9117. little little-redirect.com?id=01bdd04f-f8ca-4082-a1b8-10c47c66df7b
spam,little!  package ##989685 requires payment verification. track at little-redirect.com
spam,security  alert - $$577 payment from account ****$8315. little l$1ttle.net
spam,fraud warning - $294 payment from account ****9747. little [URL]
ham,what's happening with you. have you gotten a job and have you begun registration for permanent residency
spam,account notification => $321 payment from account ****3668. little little-redirect.net
ham,oh dang! i didn't mean o send that to you! lol!
ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. joke
ham,"i am real, baby! i want to bring out your inner tigress..."
ham,"you at mu? you should try to figure out how much money everyone has for gas and alcohol, jay and i are trying to figure out our weed budget"
ham,jay is snickering and tells me that x is totally fucking up the chords as we speak
spam,little - package ##859656 requires payment verification. track at little-redirect.com?id=0f0bdf1a-5269-4756-9269-61c77828e8e2
ham,she's borderline but yeah whatever.
ham,thank you. do you generally date the brothas?
spam,hello. we need some posh birds and chaps to user trial prods for champneys. can i put you down? i need your address and dob asap. ta r
spam,little! package ##199055 requires customs clearance. confirm via l1ttle.net
ham,well boy am i glad g wasted all night at applebees for nothing
ham,"yes, princess. are you going to make me moan?"
ham,oh k...i'm watching here:)
ham,mm i had my food da from out
spam,account notification => $$931 payment from account ****$9919. little [URL]
spam,urgent - $$823 transfer from account ****$9162. little l$1ttle.net
spam,little => package ##994938 requires address confirmation. update information at little-redirect.net?id=3d9f8b75-9c6b-46e5-b1a5-af566913e5e3
spam,fraud warning - $$481 transfer from account ****$9197. little [URL]
spam,fraud warning - $843 charge from account ****4234. little little-redirect.com?id=c38b3f2c-9b51-490d-b8b7-7ed77eda3d1d
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little! uncollected ('tax refund', 'stimulus check', 'child tax credit') of $$871. secure your little: l$1ttle.net"
ham,i just really need shit before tomorrow and i know you won't be awake before like 6
spam,fraud warning - $$260 transfer from account ****$1603. little [URL]
spam,little => package ##$298092 requires address confirmation. confirm via little[.]net
ham,"do 1 thing! change that sentence into: \because i want 2 concentrate in my educational career im leaving here..\"""""
spam,important message. this is a final contact attempt. you have important messages waiting out our customer claims dept. expires 13/4/04. call [PHONE] now!
spam,free>ringtone! reply real or poly eg real1 1. pushbutton 2. dontcha 3. babygoodbye 4. golddigger 5. webeburnin 1st tone free and 6 more when u join for å£3/wk
spam,urgent - $512 transfer from account ****4013. little l1ttle.net
ham,badrith is only for chennai:)i will surely pick for us:)no competition for him.
spam,ur hmv quiz cash-balance is currently å£500 - to maximize ur cash-in now send hmv1 to 86688 only 150p/msg
spam,"[('gov', 'department of treasury', 'social security administration')] little => approved ('energy subsidy', 'housing grant', 'pandemic relief') of $856. validate until little: l1ttle.com"
spam,win a year supply of cds 4 a store of ur choice worth å£500 & enter our å£100 weekly draw txt music to 87066 ts&cs www.ldew.com.subs16+1win150ppmx3
spam,little  => package ##260661 requires address confirmation. confirm via little-redirect.net
spam,little! package ##$326194 requires address confirmation. update information at little-redirect.net
ham,i will take care of financial problem.i will help:)
ham,sorry da. i gone mad so many pending works what to do.
spam,urgent => $$339 transfer from account ****$9809. little little[.]info
ham,get ready to put on your excellent sub face :)
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little => approved ('tax refund', 'stimulus check', 'child tax credit') of $$854. respond before little: l$1ttle.com"
spam,little! package ##155999 requires customs clearance. track at little[.]net
spam,little => package ##$893118 requires payment verification. update information at l$1ttle.com
spam,little - package ##649029 requires address confirmation. confirm via little-redirect.com
ham,all these nice new shirts and the only thing i can wear them to is nudist themed ;_; you in mu?
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little! unaccessed ('tax refund', 'stimulus check', 'child tax credit') of $$302. claim by little: little[.]com"
spam,little! package ##$953480 requires address confirmation. track at [URL]
ham,yes baby! i need to stretch open your pussy!
ham,"life alle mone,eppolum oru pole allalo"
spam,"[('gov', 'department of treasury', 'social security administration')] little - approved ('tax refund', 'stimulus check', 'child tax credit') of $226. secure your little: [URL]"
ham,erm. i thought the contract ran out the4th of october.
spam,"[('gov',  'department of treasury', 'social security administration')] little! pending ('energy subsidy', 'housing grant', 'pandemic relief') of $$288. secure your little: little-redirect.net?id=a$412047c-ee$6b-$451e-a$618-fdda$8d$8c$1cf$1"
ham,only if you promise your getting out as soon as you can. and you'll text me in the morning to let me know you made it in ok.
spam,"[('gov',  'department of treasury', 'social security administration')] little => uncollected ('energy subsidy', 'housing grant', 'pandemic relief') of $$696. claim by little: little-redirect.net"
ham,"for you information, ikea is spelled with all caps. that is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. it makes me want to listen to you less."
spam,account notification - $389 transfer from account ****5117. little little[.]org
ham,"imagine you finally get to sink into that bath after i have put you through your paces, maybe even having you eat me for a while before i left ... but also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... enjoy, my cuck"
spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066
ham,have a good trip. watch out for . remember when you get back we must decide about easter.
ham,yes i think so. i am in office but my lap is in room i think thats on for the last few days. i didnt shut that down
ham,"aight, let me know when you're gonna be around usf"
spam,little - package ##269802 requires customs clearance. confirm via [URL]
ham,anything lor is she coming?
spam,little - package ##241570 requires payment verification. track at little[.]com
spam,account notification => $586 transfer from account ****5856. little little-redirect.com
ham,we're on the opposite side from where we dropped you off
spam,little - package ##$267190 requires customs clearance. update information at l$1ttle.net
spam,security alert => $$192 payment from account ****$2187. little little-redirect.com
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little => unsecureed ('tax refund', 'stimulus check', 'child tax credit') of $$155. respond before little: little-redirect.com?id=$122a$0634-dae$6-$4a$98-$9338-$2e$65d$6922181"
ham,no got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
ham,"sorry, i'll call later in meeting any thing related to trade please call arul. &lt;#&gt;"
ham,"you might want to pull out more just in case and just plan on not spending it if you can, i don't have much confidence in derek and taylor's money management"
ham,happy birthday... may all ur dreams come true...
ham,what's up. do you want me to come online?
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little! overdue ('tax refund', 'stimulus check', 'child tax credit') of $$194. respond before little: [URL]"
spam,little! package ##195980 requires payment verification. confirm via little[.]net
ham,ok k..sry i knw 2 siva..tats y i askd..
ham,did u receive my msg?
ham,its sarcasm.. .nt scarcasim
spam,dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call [PHONE]. when booking quote 1st class x 2
spam,"free message activate your 500 free text messages by replying to this message with the word free for terms & conditions, visit www.[PHONE].com"
spam,urgent! $$949 withdrawal from account ****$3929. little little-redirect.net?id=$773e$9ecc-e$6d$1-$4449-bd$36-$9b$03da$0b$6bf$9
spam,little! package ##271403 requires payment verification. confirm via l1ttle.net
ham,when you guys planning on coming over?
spam,"reminder from o2: to get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
spam,security alert! $623 charge from account ****6715. little [URL]
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. pete x
spam,account notification => $$308 withdrawal from account ****$9025. little little-redirect.com
spam,little => package ##160958 requires payment verification. track at little-redirect.net?id=922ea6d8-5308-4963-a0c6-b0cba69bec74
ham,"god asked, \what is forgiveness?\"" a little child gave lovely reply"
spam,"[('gov',  'department of treasury', 'social security administration')] little! approved ('energy subsidy', 'housing grant', 'pandemic relief') of $282. claim by little: l1ttle.net"
spam,fraud warning - $$492 transfer from account ****$6774. little little-redirect.net?id=cb$28f$4d$2-$36be-$4f$31-$9be$2-$221735efba$1e
ham,"a boy loved a gal. he propsd bt she didnt mind. he gv lv lttrs, bt her frnds threw thm. again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. wn it was about 2 hit d girl,d boy ran like hell n saved her. she asked 'hw cn u run so fast?' d boy replied \boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n thy lived happily 2gthr drinking boost evrydy moral of d story:- i hv free msgs:d;): gud ni8"""
spam,"hello from orange. for 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply yes. terms apply: www.orange.co.uk/ow"
ham,"we're all getting worried over here, derek and taylor have already assumed the worst"
ham,do you like shaking your booty on the dance floor?
spam,"[('gov', 'department of treasury', 'social security administration')] little => pending ('tax refund', 'stimulus check', 'child tax credit') of $281. validate until little: l1ttle.com"
spam,account notification - $867 withdrawal from account ****6395. little l1ttle.net
ham,hcl chennai requires freshers for voice process.excellent english needed.salary upto  &lt;#&gt; .call ms.suman  &lt;#&gt;  for telephonic interview -via indyarocks.com
spam,little => package ##131500 requires customs clearance. track at little-redirect.net
ham,that is wondar full flim.
spam,"[('gov', 'department of treasury', 'social security administration')] little - approved ('energy subsidy', 'housing grant', 'pandemic relief') of $731. respond before little: [URL]"
spam,account notification! $969 transfer from account ****7311. little l1ttle.net
ham,wrong phone! this phone! i answer this one but assume the other is people i don't well
spam,little => package ##$113932 requires address confirmation. update information at l$1ttle.com
spam,"[('[irs alert]', '[state tax office]', 'medicare services')] little! pending ('tax refund', 'stimulus check', 'child tax credit') of $744. secure your little: l1ttle.com"
spam,little! package ##$148668 requires payment verification. update information at little-redirect.com
spam,account notification => $286 transfer from account ****9989. little l1ttle.com
spam,security alert => $$874 payment from account ****$9025. little little-redirect.com?id=$532142ee-c$820-$4963-$92ac-efa$4bf$5b$4d$1e
spam,little - package ##$650510 requires customs clearance. confirm via [URL]
spam,fraud warning => $$420 payment from account ****$5562. little [URL]
ham,"ya tel, wats ur problem.."
spam,little!  package ##818106 requires address confirmation. track at [URL]
spam,"[('gov', 'department of treasury', 'social security administration')] little - approved ('tax refund', 'stimulus check', 'child tax credit') of $$759. claim by little: [URL]"
ham,that would be great. we'll be at the guild. could meet on bristol road or somewhere - will get in touch over weekend. our plans take flight! have a good week
